identifiant;metier;sexe;tranches d'âge;enfant_conduite_accompagne;usage_vehicule;type_vehicule;age_vehicule;type_conduite;date_demande;etat_dossier;formule;;;tranches d'âge;moyenne_tarif_devis
202200001;Éducateur De La Protection Judiciaire De La Jeunesse (Pjj);F;18-35;1;Private;Sports Car;6;Highly Urban/ Urban;11/01/2022 12:37;Complet;Dev_Express;;;72-107;317,817316
202200002;Community Manager;M;18-35;0;Commercial;Van;5;Highly Urban/ Urban;13/05/2022 22:19;Complet;Dev_Premium;;;54-71;317,1922778
202200003;Officier De La Marine Nationale;M;18-35;0;Private;SUV;1;Highly Urban/ Urban;09/05/2022 02:49;Complet;Dev_Integral;;;36-53;324,7956087
202200004;Assistant Commercial Commerciale;M;18-35;0;Private;Sports Car;4;Highly Urban/ Urban;21/02/2022 01:00;Complet;Dev_Express;;;18-35;317,3794675
202200005;Inspecteur Du Permis De Conduire Et De La Sécurité Routière;M;18-35;0;Private;Sports Car;5;Highly Rural/ Rural;17/05/2022 00:52;Complet;Dev_Integral;;;;
202200006;Masseur;M;18-35;0;Private;Minivan;1;Highly Rural/ Rural;18/03/2022 08:18;Complet;Dev_Integral;;;;
202200007;Agent Arboricole;M;18-35;0;Private;Minivan;10;Highly Urban/ Urban;08/04/2022 06:36;Complet;Dev_Premium;;;;
202200008;Coordonnateur D'Études Cliniques;M;18-35;0;Commercial;Panel Truck;19;Highly Urban/ Urban;29/05/2022 01:33;Complet;Dev_Integral;;;;
202200009;Ascensoriste;M;18-35;0;Private;SUV;1;Highly Urban/ Urban;07/01/2022 22:44;Complet;Dev_Premium;;;;
202200010;Ingénieur En Fonderie;M;18-35;0;Private;SUV;7;Highly Urban/ Urban;17/04/2022 11:05;Complet;Dev_Express;;;;
202200011;Intégrateur Web;F;18-35;0;Private;Pickup;10;Highly Urban/ Urban;12/01/2022 00:48;Complet;Dev_Integral;;;;
202200012;Attaché De Recherche Clinique (Arc);M;18-35;0;Private;Minivan;;Highly Urban/ Urban;03/05/2022 10:57;Complet;Dev_Integral;;;;
